Wins,QB:Comp%,QB:Pass Yds,QB:Pass TD,QB:Int,QB:First Down,QB:Adj Yds/att,Pass Yds/comp,QB:Pass Yds/g,QB:Sacked,QB:Sacked/g,GWD,RB:Rush Yds,RB:Rush TD,RB:First Down,RB:Yds/rush,RB:Fumbles,WR1:Catch%,WR1:Rec Yds,WR1:Rec TD,WR1:First Downs,WR1:Yds/rec,WR1:Yds/tgt,WR1:Fumbles,WR2:Catch%,WR2:Rec Yds,WR2:Rec TD,WR2:First Downs,WR2:Yds/rec,WR2:Yds/tgt,WR2:Fumbles,WR3:Catch%,WR3:Rec Yds,WR3:Rec TD,WR3:First Downs,WR3:Yds/rec,WR3:Yds/tgt,WR3:Fumbles,TE:Catch%,TE:Rec Yds,TE:Rec TD,TE:First Downs,TE:Yds/rec,TE:Yds/tgt,TE:Fumbles,OL:Sacked,OL:Sacked/g,OL:Yds/rush,DL:Blitzes,DL:Blitz%,DL:Hurries,DL:Hurry%,DL:Knockdowns,DL:Knockdown%,DL:Sacks,DL:Pressures,DL:Pressure%,LB:Total Yds,LB:Points,LB:Yds/play,LB:FF,LB:Pass Yds/att,LB:Rush Yds,LB:Rush TD,LB:Yds/rush,LB:Penalties,LB:Penalty Yds,DB:Pass Comp,DB:Pass Yds,DB:Pass TD,DB:Int,DB:Pass Net Yds/att,DB:Pass FD,DB:Turnovers,DB:Penalties,DB:Penalty Yards,DB:Turnover%,DB:Total Yds,DB:Points
9,69.2,3787,24,10,172,7.9,11.4,270.5,31,6.1,1,752,15,53,3.7,2,74.8,982,5,44,12.8,9.5,0,58.7,848,3,37,15.7,9.2,0,65.6,572,8,32,13.6,8.9,0,94.1,193,1,9,12.1,11.4,0,31,6.1,3.7,220,35.2,61,9.8,60.0,10.7,41,162,25.9,5597,366,5.4,14,6.1,1952,10,4.6,100,896,367,3645,30,13,6.1,192,27,100,896,15.3,5597,366
7,67.0,3968,20,12,195,6.8,10.6,233.4,40,6.7,4,618,6,29,4.0,2,70.2,770,4,37,11.7,8.2,2,58.5,406,3,22,13.1,7.7,0,59.6,281,2,16,9.1,5.4,0,61.8,1026,1,43,15.1,9.3,0,40,6.7,4.0,154,24.5,48,7.6,39.0,6.8,18,105,16.7,6194,459,5.6,8,6.6,2242,19,4.3,118,956,391,3952,31,12,6.6,214,20,118,956,11.2,6194,459
7,64.4,2882,16,13,135,6.9,11.7,240.2,38,9.0,4,767,2,48,5.8,6,62.3,1008,6,41,11.1,6.9,3,67.6,515,1,29,11.2,7.6,0,55.1,394,1,17,14.6,8.0,1,69.9,1361,9,75,12.7,8.9,1,38,9.0,5.8,209,31.1,58,8.6,62.0,10.0,34,154,23.0,6178,392,6.0,6,7.2,1436,13,3.8,98,882,397,4742,31,9,7.2,232,15,98,882,7.9,6178,392
11,63.3,4407,36,15,234,6.9,10.8,259.2,26,3.9,0,870,7,44,4.6,5,62.8,1225,10,66,11.9,7.5,1,73.2,693,1,34,8.5,6.2,1,58.3,626,4,31,14.9,8.7,0,69.0,587,9,31,12.0,8.3,0,26,3.9,4.6,170,28.1,93,15.4,51.0,9.6,42,186,30.8,4637,289,4.6,11,4.8,1866,19,4.2,102,844,297,2771,12,19,4.8,138,30,102,844,14.5,4637,289
4,59.9,2527,9,13,123,5.2,10.4,210.6,35,7.9,0,612,5,36,3.6,1,57.1,1157,4,60,12.4,7.1,1,48.2,519,5,27,9.8,4.7,0,72.0,250,1,10,13.9,10.0,0,60.0,188,0,6,10.4,6.3,0,35,7.9,3.6,192,33.7,62,10.9,48.0,9.3,39,149,26.1,5201,404,5.1,7,5.9,1935,16,4.1,108,896,337,3266,26,9,5.9,170,16,108,896,8.1,5201,404
2,58.9,1870,7,10,83,5.8,11.8,155.8,36,11.8,0,849,7,55,3.8,1,57.9,1055,4,49,13.0,7.5,0,57.6,410,1,22,10.8,6.2,0,68.4,329,1,18,12.7,8.7,1,64.5,612,0,29,10.2,6.6,0,36,11.8,3.8,123,22.6,46,8.4,31.0,6.5,49,126,23.1,5384,407,5.3,8,6.2,2127,14,4.4,93,856,314,3257,31,8,6.2,170,16,93,856,8.4,5384,407
10,70.4,4611,34,14,202,9.0,12.6,288.2,51,8.9,3,1205,13,60,4.1,2,63.3,1455,13,56,18.0,11.4,2,67.3,1091,6,53,14.7,9.9,1,71.3,828,5,37,12.4,8.8,1,77.8,493,5,24,10.1,7.8,0,51,8.9,4.1,173,25.0,75,10.8,53.0,8.5,42,170,24.5,5964,376,5.5,8,6.3,1742,15,4.3,116,946,420,4222,26,13,6.3,213,21,116,946,11.1,5964,376
6,60.5,3010,17,13,143,6.6,11.9,215.0,43,9.3,0,1259,8,61,5.5,2,58.6,597,3,26,17.6,10.3,2,59.8,570,2,30,11.0,6.6,3,51.1,275,1,16,11.5,5.9,0,67.9,475,4,17,13.2,9.0,0,43,9.3,5.5,141,22.1,59,9.3,53.0,9.2,43,155,24.3,5296,371,5.0,6,5.6,1857,13,4.2,98,882,367,3439,29,13,5.6,184,19,98,882,9.9,5296,371
11,68.8,4449,37,10,227,8.0,10.9,278.1,30,4.8,2,1002,10,55,4.2,1,65.8,1102,6,54,13.9,9.2,0,65.4,865,8,45,12.7,8.3,1,73.8,602,6,27,13.4,9.9,3,75.0,808,8,43,10.4,7.8,0,30,4.8,4.2,198,29.1,79,11.6,68.0,11.1,41,188,27.6,5967,358,5.5,8,6.2,1918,13,4.5,121,973,364,4049,24,26,6.2,191,34,121,973,16.7,5967,358
7,66.9,3052,18,7,146,7.3,10.7,218.0,31,6.8,1,918,8,48,4.5,3,59.2,776,2,35,13.4,7.9,0,62.4,734,5,39,13.8,8.6,0,67.9,467,0,22,12.3,8.3,1,75.6,670,4,29,9.9,7.4,0,31,6.8,4.5,160,25.3,83,13.1,45.0,8.0,36,164,25.9,5544,322,5.3,6,6.1,1892,9,4.3,104,922,341,3652,22,13,6.1,192,19,104,922,10.7,5544,322
